id_tiempo,hora,mes,anio,id_edificio,id_ambiente,ocupacion,temperatura,demanda_pico_kw,factor_potencia,consumo_kwh,nombre_edificio,tipo_ambiente,nombre_mes,periodo,franja_horaria,eficiencia_energetica_pct,riesgo_energetico_indice,pred_consumo_kwh,sobreconsumo_real,riesgo_sobreconsumo_prob,riesgo_sobreconsumo_pred
27,15,1,2026,1,105,93,21.75,58.42,0.95,560.0,Pabellón A,Biblioteca,Ene,2026-01,Tarde,40.43,Alto,559.99,1,0.921,Alto
28,13,1,2026,1,124,59,23.85,33.77,0.87,307.83,Pabellón A,Auditorio,Ene,2026-01,Tarde,48.7,Bajo,347.84,0,0.026,Bajo
29,19,1,2026,9,142,52,22.64,34.42,0.99,355.3,Edificio 9,Auditorio,Ene,2026-01,Noche,32.96,Bajo,365.39,0,0.006,Bajo
30,7,1,2026,1,137,45,18.0,25.3,0.897,169.0,Pabellón A,Administrativo,Ene,2026-01,Mañana,63.26,Bajo,184.78,0,0.007,Bajo
31,20,1,2026,3,104,27,21.82,19.5,0.93,132.58,Laboratorio Central,Oficina,Ene,2026-01,Noche,52.65,Bajo,148.03,0,0.003,Bajo
32,16,1,2026,2,126,84,22.22,58.25,0.897,560.0,Pabellón B,Aula,Ene,2026-01,Tarde,34.12,Alto,559.04,1,0.929,Alto
33,12,1,2026,4,116,28,27.08,23.59,0.943,296.76,Biblioteca,Oficina,Ene,2026-01,Tarde,0.0,Bajo,299.32,0,0.024,Bajo
34,16,1,2026,2,104,65,20.89,25.08,0.935,243.85,Pabellón B,Oficina,Ene,2026-01,Tarde,63.05,Bajo,281.06,0,0.029,Bajo
35,10,1,2026,6,118,77,29.1,47.59,0.857,558.58,Comedor,Auditorio,Ene,2026-01,Mañana,28.39,Medio,551.3,0,0.159,Bajo
36,20,1,2026,9,119,52,25.63,39.97,0.933,285.22,Edificio 9,Administrativo,Ene,2026-01,Noche,46.18,Bajo,287.99,0,0.028,Bajo
37,18,1,2026,9,109,50,28.4,42.69,0.884,462.73,Edificio 9,Laboratorio,Ene,2026-01,Noche,9.27,Medio,474.04,0,0.09,Bajo
38,21,1,2026,1,105,80,20.6,43.87,0.945,358.64,Pabellón A,Biblioteca,Ene,2026-01,Noche,55.72,Bajo,329.94,0,0.063,Bajo
39,11,1,2026,3,147,22,26.03,41.58,0.903,560.0,Laboratorio Central,Biblioteca,Ene,2026-01,Mañana,0.0,Medio,544.65,1,0.697,Medio
40,7,1,2026,6,137,43,21.34,29.74,0.947,229.97,Comedor,Administrativo,Ene,2026-01,Mañana,47.73,Bajo,212.74,0,0.032,Bajo
41,20,1,2026,1,157,34,27.89,29.93,0.878,264.86,Pabellón A,Laboratorio,Ene,2026-01,Noche,24.33,Bajo,242.74,0,0.021,Bajo
42,18,1,2026,3,159,12,29.78,42.03,0.982,560.0,Laboratorio Central,Biblioteca,Ene,2026-01,Noche,0.0,Medio,531.59,1,0.712,Alto
43,7,1,2026,3,147,89,21.96,60.46,0.941,520.79,Laboratorio Central,Biblioteca,Ene,2026-01,Mañana,42.13,Alto,520.87,0,0.372,Bajo
44,18,1,2026,2,124,67,28.47,27.44,0.923,317.62,Pabellón B,Auditorio,Ene,2026-01,Noche,53.29,Bajo,308.19,0,0.01,Bajo
45,11,1,2026,4,114,69,24.64,58.88,0.98,560.0,Biblioteca,Aula,Ene,2026-01,Mañana,20.0,Alto,559.96,1,0.943,Alto
46,13,1,2026,11,153,85,18.0,64.82,0.989,560.0,Edificio 11,Biblioteca,Ene,2026-01,Tarde,34.88,Alto,552.7,1,0.967,Alto
47,11,1,2026,1,106,38,22.77,28.26,0.868,363.69,Pabellón A,Auditorio,Ene,2026-01,Mañana,6.75,Bajo,349.49,0,0.019,Bajo
48,10,1,2026,5,102,86,24.31,68.0,0.954,560.0,Administrativo,Aula,Ene,2026-01,Mañana,35.63,Alto,559.99,1,0.945,Alto
49,18,1,2026,12,142,62,27.36,56.41,0.882,549.27,Edificio 12,Auditorio,Ene,2026-01,Noche,12.81,Alto,556.08,0,0.614,Medio
50,21,1,2026,5,132,45,23.23,29.52,0.883,188.66,Administrativo,Aula,Ene,2026-01,Noche,58.99,Bajo,205.69,0,0.006,Bajo
51,13,1,2026,11,160,28,27.78,53.68,0.956,560.0,Edificio 11,Auditorio,Ene,2026-01,Tarde,0.0,Alto,558.37,1,0.851,Alto
52,10,1,2026,7,150,38,20.52,37.16,0.868,559.65,Auditorio,Aula,Ene,2026-01,Mañana,0.0,Medio,502.49,0,0.055,Bajo
53,14,1,2026,12,110,45,22.29,47.79,0.862,560.0,Edificio 12,Oficina,Ene,2026-01,Tarde,0.0,Medio,558.64,1,0.812,Alto
54,11,1,2026,4,151,50,24.56,35.86,0.911,444.93,Biblioteca,Laboratorio,Ene,2026-01,Mañana,12.76,Medio,454.71,0,0.041,Bajo
55,8,1,2026,8,126,76,21.77,64.99,0.871,560.0,Edificio 8,Aula,Ene,2026-01,Mañana,27.27,Alto,555.23,1,0.943,Alto
56,21,1,2026,2,149,81,22.69,41.16,0.957,261.41,Pabellón B,Administrativo,Ene,2026-01,Noche,68.12,Bajo,280.76,0,0.04,Bajo
57,10,1,2026,2,129,71,26.84,59.78,0.9,560.0,Pabellón B,Biblioteca,Ene,2026-01,Mañana,22.22,Alto,559.96,1,0.951,Alto
58,20,1,2026,12,157,31,18.7,29.42,0.829,222.03,Edificio 12,Laboratorio,Ene,2026-01,Noche,30.62,Bajo,227.61,0,0.015,Bajo
59,14,1,2026,8,116,55,18.61,24.61,0.978,279.48,Edificio 8,Oficina,Ene,2026-01,Tarde,50.09,Bajo,302.31,0,0.046,Bajo
60,18,1,2026,5,115,78,23.99,61.57,0.889,560.0,Administrativo,Laboratorio,Ene,2026-01,Noche,29.11,Alto,559.78,1,0.935,Alto
61,18,1,2026,3,145,60,27.38,51.97,0.949,560.0,Laboratorio Central,Laboratorio,Ene,2026-01,Noche,8.2,Medio,557.0,1,0.86,Alto
62,19,1,2026,10,160,36,22.37,37.77,0.914,515.6,Edificio 10,Auditorio,Ene,2026-01,Noche,0.0,Medio,493.32,0,0.083,Bajo
63,12,1,2026,5,148,19,28.38,27.0,0.867,310.76,Administrativo,Auditorio,Ene,2026-01,Tarde,0.0,Bajo,321.31,0,0.043,Bajo
64,14,1,2026,4,117,10,23.68,35.8,0.879,560.0,Biblioteca,Biblioteca,Ene,2026-01,Tarde,0.0,Medio,501.27,1,0.48,Medio
65,9,1,2026,8,158,76,27.36,52.52,0.917,560.0,Edificio 8,Oficina,Ene,2026-01,Mañana,27.27,Alto,558.15,1,0.853,Alto
66,9,1,2026,8,111,60,27.13,68.0,0.918,560.0,Edificio 8,Biblioteca,Ene,2026-01,Mañana,8.2,Alto,559.98,1,0.949,Alto
67,13,1,2026,5,148,76,23.4,34.92,0.871,395.36,Administrativo,Auditorio,Ene,2026-01,Tarde,48.65,Bajo,410.97,0,0.013,Bajo
68,10,1,2026,11,104,72,25.2,31.34,0.913,323.96,Edificio 11,Oficina,Ene,2026-01,Mañana,55.62,Bajo,353.76,0,0.055,Bajo
69,7,1,2026,10,109,56,27.74,52.31,0.974,352.37,Edificio 10,Laboratorio,Ene,2026-01,Mañana,38.18,Bajo,382.48,0,0.241,Bajo
70,16,1,2026,10,147,76,23.32,64.09,0.928,560.0,Edificio 10,Biblioteca,Ene,2026-01,Tarde,27.27,Alto,559.65,1,0.951,Alto
71,21,1,2026,5,136,30,18.0,12.89,0.948,100.55,Administrativo,Auditorio,Ene,2026-01,Noche,67.56,Bajo,126.24,0,0.003,Bajo
72,8,1,2026,12,149,26,22.9,38.63,0.934,243.94,Edificio 12,Administrativo,Ene,2026-01,Mañana,9.65,Bajo,286.6,0,0.038,Bajo
73,7,1,2026,6,134,35,25.61,29.91,0.909,244.02,Comedor,Oficina,Ene,2026-01,Mañana,32.22,Bajo,235.84,0,0.003,Bajo
74,12,1,2026,11,157,45,26.58,35.92,0.85,505.82,Edificio 11,Laboratorio,Ene,2026-01,Tarde,0.0,Medio,489.0,0,0.041,Bajo
75,11,1,2026,10,151,88,21.84,40.17,0.926,505.49,Edificio 10,Laboratorio,Ene,2026-01,Mañana,43.2,Medio,487.53,0,0.059,Bajo
76,21,1,2026,2,117,69,26.0,60.47,0.856,528.83,Pabellón B,Biblioteca,Ene,2026-01,Noche,24.45,Alto,518.98,0,0.327,Bajo
77,7,1,2026,8,154,43,27.44,37.53,0.934,249.72,Edificio 8,Auditorio,Ene,2026-01,Mañana,43.25,Bajo,265.95,0,0.013,Bajo
78,15,1,2026,1,133,29,25.55,27.28,0.901,269.89,Pabellón A,Laboratorio,Ene,2026-01,Tarde,10.04,Bajo,298.35,0,0.05,Bajo
79,18,1,2026,8,141,49,21.17,56.34,0.914,560.0,Edificio 8,Biblioteca,Ene,2026-01,Noche,0.0,Alto,559.3,1,0.91,Alto
80,12,1,2026,8,135,87,21.25,59.85,0.909,560.0,Edificio 8,Biblioteca,Ene,2026-01,Tarde,36.36,Alto,559.99,1,0.918,Alto
81,11,1,2026,5,116,59,29.11,31.17,0.97,343.55,Administrativo,Oficina,Ene,2026-01,Mañana,42.74,Bajo,352.67,0,0.031,Bajo
82,18,1,2026,8,117,41,23.04,41.92,0.878,560.0,Edificio 8,Biblioteca,Ene,2026-01,Noche,0.0,Medio,536.3,1,0.442,Medio
83,10,1,2026,5,114,43,26.3,54.9,0.89,560.0,Administrativo,Aula,Ene,2026-01,Mañana,0.0,Alto,559.92,1,0.941,Alto
84,9,1,2026,11,155,61,24.37,56.85,0.943,560.0,Edificio 11,Administrativo,Ene,2026-01,Mañana,9.68,Alto,559.83,1,0.921,Alto
85,12,2,2026,3,103,54,30.57,43.06,0.92,493.36,Laboratorio Central,Laboratorio,Feb,2026-02,Tarde,10.3,Medio,492.86,0,0.105,Bajo
86,9,2,2026,3,151,39,22.25,27.28,0.93,354.34,Laboratorio Central,Laboratorio,Feb,2026-02,Mañana,11.42,Bajo,350.79,0,0.028,Bajo
87,16,2,2026,10,150,27,21.09,33.52,0.97,493.12,Edificio 10,Aula,Feb,2026-02,Tarde,0.0,Medio,435.3,0,0.017,Bajo
88,16,2,2026,10,103,42,20.8,29.27,0.936,366.32,Edificio 10,Laboratorio,Feb,2026-02,Tarde,14.81,Bajo,335.12,0,0.05,Bajo
89,17,2,2026,2,110,56,28.4,55.35,0.944,560.0,Pabellón B,Oficina,Feb,2026-02,Tarde,1.75,Alto,558.02,1,0.93,Alto
90,11,2,2026,12,118,56,23.65,37.88,0.875,478.58,Edificio 12,Auditorio,Feb,2026-02,Mañana,16.04,Medio,490.41,0,0.039,Bajo
91,17,2,2026,10,142,59,22.73,42.46,0.929,463.02,Edificio 10,Auditorio,Feb,2026-02,Tarde,22.83,Medio,477.49,0,0.133,Bajo
92,7,2,2026,3,150,67,22.84,56.28,0.88,436.77,Laboratorio Central,Aula,Feb,2026-02,Mañana,35.77,Alto,448.52,0,0.218,Bajo
93,18,2,2026,5,144,40,25.98,22.81,0.899,287.62,Administrativo,Aula,Feb,2026-02,Noche,29.85,Bajo,284.07,0,0.014,Bajo
94,16,2,2026,5,101,32,31.05,43.46,0.937,436.65,Administrativo,Administrativo,Feb,2026-02,Tarde,0.0,Bajo,465.18,0,0.219,Bajo
95,19,2,2026,11,152,54,25.46,33.5,0.865,357.68,Edificio 11,Oficina,Feb,2026-02,Noche,34.97,Bajo,373.98,0,0.023,Bajo
96,16,2,2026,7,140,47,27.71,44.36,0.87,560.0,Auditorio,Oficina,Feb,2026-02,Tarde,0.0,Medio,548.46,1,0.444,Medio
97,8,2,2026,3,121,33,26.46,29.43,0.875,245.24,Laboratorio Central,Laboratorio,Feb,2026-02,Mañana,27.87,Bajo,234.66,0,0.005,Bajo
98,11,2,2026,6,107,57,27.61,41.17,0.791,513.94,Comedor,Administrativo,Feb,2026-02,Mañana,11.39,Medio,499.85,0,0.115,Bajo
99,15,2,2026,8,126,80,25.82,68.0,0.877,560.0,Edificio 8,Aula,Feb,2026-02,Tarde,30.86,Alto,559.99,1,0.932,Alto
100,9,2,2026,5,128,60,27.14,29.2,0.965,352.08,Administrativo,Oficina,Feb,2026-02,Mañana,42.28,Bajo,346.23,0,0.011,Bajo
101,18,2,2026,3,119,28,23.41,37.19,0.979,347.44,Laboratorio Central,Administrativo,Feb,2026-02,Noche,0.0,Bajo,393.05,0,0.037,Bajo
102,20,2,2026,3,131,57,26.88,37.36,0.899,257.49,Laboratorio Central,Administrativo,Feb,2026-02,Noche,55.61,Bajo,254.8,0,0.006,Bajo
103,14,2,2026,4,129,34,23.67,50.02,0.888,560.0,Biblioteca,Biblioteca,Feb,2026-02,Tarde,0.0,Medio,559.62,1,0.901,Alto
104,19,2,2026,7,121,41,27.88,36.63,0.924,414.52,Auditorio,Laboratorio,Feb,2026-02,Noche,1.3,Bajo,407.13,0,0.006,Bajo
105,16,2,2026,10,142,42,24.72,34.18,0.901,398.73,Edificio 10,Auditorio,Feb,2026-02,Tarde,7.27,Bajo,381.03,0,0.017,Bajo
106,12,2,2026,4,144,48,24.81,31.01,0.935,305.24,Biblioteca,Aula,Feb,2026-02,Tarde,37.71,Bajo,350.25,0,0.018,Bajo
107,14,2,2026,12,158,63,21.86,38.26,0.846,514.04,Edificio 12,Oficina,Feb,2026-02,Tarde,19.68,Medio,485.49,0,0.049,Bajo
108,15,2,2026,10,121,55,28.78,39.91,0.865,499.91,Edificio 10,Laboratorio,Feb,2026-02,Tarde,10.73,Medio,467.07,0,0.064,Bajo
109,18,2,2026,3,126,95,18.85,68.0,0.942,560.0,Laboratorio Central,Aula,Feb,2026-02,Noche,41.67,Alto,559.76,1,0.967,Alto
110,8,2,2026,6,154,39,22.91,27.33,0.964,223.89,Comedor,Auditorio,Feb,2026-02,Mañana,44.03,Bajo,217.26,0,0.014,Bajo
111,14,2,2026,9,102,43,23.13,53.68,0.88,560.0,Edificio 9,Aula,Feb,2026-02,Tarde,0.0,Alto,559.87,1,0.916,Alto
112,19,2,2026,11,145,87,26.87,68.0,0.88,560.0,Edificio 11,Laboratorio,Feb,2026-02,Noche,36.36,Alto,559.92,1,0.867,Alto
113,19,2,2026,1,118,40,27.08,32.74,0.951,362.67,Pabellón A,Auditorio,Feb,2026-02,Noche,11.54,Bajo,360.96,0,0.006,Bajo
114,16,2,2026,7,139,67,23.17,36.36,0.885,412.83,Auditorio,Laboratorio,Feb,2026-02,Tarde,39.29,Bajo,399.38,0,0.024,Bajo
115,14,2,2026,5,142,94,24.93,53.43,0.875,560.0,Administrativo,Auditorio,Feb,2026-02,Tarde,41.05,Alto,555.68,1,0.879,Alto
116,16,2,2026,5,140,62,29.07,58.14,0.877,560.0,Administrativo,Oficina,Feb,2026-02,Tarde,11.11,Alto,559.08,1,0.932,Alto
117,20,2,2026,8,106,57,28.5,33.33,0.853,333.21,Edificio 8,Auditorio,Feb,2026-02,Noche,42.55,Bajo,303.31,0,0.026,Bajo
118,11,2,2026,1,136,50,28.05,23.23,0.99,281.61,Pabellón A,Auditorio,Feb,2026-02,Mañana,44.78,Bajo,287.63,0,0.017,Bajo
119,20,2,2026,5,149,64,20.7,32.07,0.956,232.73,Administrativo,Administrativo,Feb,2026-02,Noche,64.2,Bajo,248.81,0,0.001,Bajo
120,17,2,2026,11,153,23,25.49,54.2,0.902,560.0,Edificio 11,Biblioteca,Feb,2026-02,Tarde,0.0,Alto,557.78,1,0.844,Alto
121,7,2,2026,10,123,53,23.31,59.03,0.974,560.0,Edificio 10,Biblioteca,Feb,2026-02,Mañana,0.0,Alto,551.6,1,0.861,Alto
122,12,2,2026,9,132,75,29.44,36.18,0.907,472.67,Edificio 9,Aula,Feb,2026-02,Tarde,37.81,Medio,456.01,0,0.033,Bajo
123,19,2,2026,5,147,82,20.67,61.21,0.913,560.0,Administrativo,Biblioteca,Feb,2026-02,Noche,32.53,Alto,559.76,1,0.926,Alto
124,17,2,2026,7,154,87,25.57,45.29,0.912,495.67,Auditorio,Auditorio,Feb,2026-02,Tarde,43.67,Medio,507.02,0,0.123,Bajo
125,14,2,2026,6,143,54,22.27,31.03,0.949,407.55,Comedor,Administrativo,Feb,2026-02,Tarde,25.9,Bajo,370.71,0,0.05,Bajo
126,16,2,2026,9,120,32,26.43,47.21,0.979,560.0,Edificio 9,Aula,Feb,2026-02,Tarde,0.0,Medio,555.87,1,0.678,Medio
127,11,2,2026,11,126,59,25.22,68.0,0.941,560.0,Edificio 11,Aula,Feb,2026-02,Mañana,6.67,Alto,559.98,1,0.961,Alto
128,13,2,2026,8,123,82,22.24,63.37,0.949,560.0,Edificio 8,Biblioteca,Feb,2026-02,Tarde,32.53,Alto,559.82,1,0.949,Alto
129,9,2,2026,7,141,75,26.63,64.13,0.964,560.0,Auditorio,Biblioteca,Feb,2026-02,Mañana,26.32,Alto,559.97,1,0.981,Alto
130,10,2,2026,6,106,72,27.46,45.5,0.957,540.08,Comedor,Auditorio,Feb,2026-02,Mañana,26.02,Medio,519.75,0,0.088,Bajo
131,11,2,2026,4,107,93,22.84,47.49,0.925,543.66,Biblioteca,Administrativo,Feb,2026-02,Mañana,42.16,Medio,530.86,0,0.167,Bajo
132,12,2,2026,4,108,53,25.07,25.77,0.934,281.67,Biblioteca,Aula,Feb,2026-02,Tarde,47.84,Bajo,294.28,0,0.008,Bajo
133,20,2,2026,4,121,60,19.38,29.46,0.892,252.58,Biblioteca,Laboratorio,Feb,2026-02,Noche,58.59,Bajo,241.87,0,0.008,Bajo
134,19,2,2026,3,107,52,24.24,33.65,0.98,372.52,Laboratorio Central,Administrativo,Feb,2026-02,Noche,29.71,Bajo,367.11,0,0.011,Bajo
135,12,2,2026,1,111,53,26.16,52.86,0.919,560.0,Pabellón A,Biblioteca,Feb,2026-02,Tarde,0.0,Alto,559.74,1,0.902,Alto
136,16,2,2026,2,128,61,18.0,22.61,0.977,222.73,Pabellón B,Oficina,Feb,2026-02,Tarde,64.08,Bajo,242.93,0,0.01,Bajo
137,15,2,2026,5,129,51,24.01,62.77,0.909,560.0,Administrativo,Biblioteca,Feb,2026-02,Tarde,0.0,Alto,559.98,1,0.972,Alto
138,14,2,2026,2,157,76,28.2,47.36,0.939,548.98,Pabellón B,Laboratorio,Feb,2026-02,Tarde,28.7,Medio,547.72,0,0.189,Bajo
139,15,2,2026,12,120,33,27.36,52.32,0.956,560.0,Edificio 12,Aula,Feb,2026-02,Tarde,0.0,Medio,559.44,1,0.869,Alto
140,17,2,2026,11,156,44,25.18,24.55,0.92,326.58,Edificio 11,Aula,Feb,2026-02,Tarde,27.43,Bajo,307.19,0,0.005,Bajo
141,12,2,2026,8,125,46,25.28,45.85,0.936,560.0,Edificio 8,Administrativo,Feb,2026-02,Tarde,0.0,Medio,551.53,1,0.583,Medio
142,8,2,2026,2,153,95,27.35,68.0,0.909,560.0,Pabellón B,Biblioteca,Feb,2026-02,Mañana,41.67,Alto,552.54,1,0.923,Alto
143,7,2,2026,10,135,24,22.92,34.59,0.953,320.27,Edificio 10,Biblioteca,Feb,2026-02,Mañana,0.0,Bajo,305.54,0,0.012,Bajo
144,7,2,2026,5,138,77,24.07,68.0,0.887,560.0,Administrativo,Aula,Feb,2026-02,Mañana,28.21,Alto,550.24,1,0.854,Alto
145,20,2,2026,2,122,66,22.23,35.75,0.858,285.84,Pabellón B,Oficina,Feb,2026-02,Noche,57.34,Bajo,273.75,0,0.02,Bajo
146,20,2,2026,10,139,5,22.87,20.81,0.865,191.15,Edificio 10,Laboratorio,Feb,2026-02,Noche,0.0,Bajo,187.66,0,0.02,Bajo
147,7,2,2026,3,117,49,22.14,48.24,0.914,425.95,Laboratorio Central,Biblioteca,Feb,2026-02,Mañana,14.81,Bajo,423.08,0,0.182,Bajo
148,9,2,2026,12,140,45,25.9,55.71,0.872,560.0,Edificio 12,Oficina,Feb,2026-02,Mañana,0.0,Alto,559.64,1,0.888,Alto
149,9,2,2026,6,119,48,19.49,28.95,0.903,395.99,Comedor,Administrativo,Feb,2026-02,Mañana,19.19,Bajo,353.57,0,0.016,Bajo
150,17,2,2026,2,117,80,21.65,61.33,0.878,560.0,Pabellón B,Biblioteca,Feb,2026-02,Tarde,30.86,Alto,559.92,1,0.966,Alto
151,15,2,2026,2,122,38,25.65,29.25,0.868,357.44,Pabellón B,Oficina,Feb,2026-02,Tarde,8.35,Bajo,340.37,0,0.021,Bajo
152,16,2,2026,1,100,61,26.65,60.54,0.917,560.0,Pabellón A,Auditorio,Feb,2026-02,Tarde,9.68,Alto,559.53,1,0.93,Alto
153,8,2,2026,1,131,54,22.74,27.18,0.953,233.2,Pabellón A,Administrativo,Feb,2026-02,Mañana,57.6,Bajo,220.3,0,0.008,Bajo
154,8,2,2026,7,155,20,24.45,34.72,0.894,350.41,Auditorio,Administrativo,Feb,2026-02,Mañana,0.0,Bajo,327.18,0,0.029,Bajo
155,13,2,2026,10,125,49,21.59,49.57,0.915,560.0,Edificio 10,Administrativo,Feb,2026-02,Tarde,0.0,Medio,557.72,1,0.892,Alto
156,20,2,2026,12,158,26,22.53,35.73,0.944,298.06,Edificio 12,Oficina,Feb,2026-02,Noche,0.0,Bajo,289.13,0,0.016,Bajo
157,8,2,2026,7,155,47,27.14,52.01,0.931,485.35,Auditorio,Administrativo,Feb,2026-02,Mañana,0.0,Medio,468.03,0,0.116,Bajo
158,21,2,2026,6,122,72,23.82,34.64,0.922,267.12,Comedor,Oficina,Feb,2026-02,Noche,63.41,Bajo,265.46,0,0.003,Bajo
159,10,2,2026,3,138,76,28.75,68.0,0.955,560.0,Laboratorio Central,Aula,Feb,2026-02,Mañana,27.27,Alto,559.84,1,0.961,Alto
160,16,2,2026,8,143,61,28.04,42.76,0.873,465.04,Edificio 8,Administrativo,Feb,2026-02,Tarde,24.99,Medio,475.75,0,0.076,Bajo
161,17,2,2026,6,109,32,25.85,28.16,0.858,354.03,Comedor,Laboratorio,Feb,2026-02,Tarde,0.0,Bajo,329.56,0,0.014,Bajo
162,14,2,2026,8,102,61,29.91,68.0,0.981,560.0,Edificio 8,Aula,Feb,2026-02,Tarde,9.68,Alto,559.85,1,0.924,Alto
163,16,2,2026,10,132,33,27.23,35.92,0.891,367.02,Edificio 10,Aula,Feb,2026-02,Tarde,0.0,Bajo,401.87,0,0.03,Bajo
164,10,2,2026,6,138,39,22.91,49.52,0.927,560.0,Comedor,Aula,Feb,2026-02,Mañana,0.0,Medio,559.62,1,0.916,Alto
165,12,2,2026,12,105,41,24.55,52.56,0.953,560.0,Edificio 12,Biblioteca,Feb,2026-02,Tarde,0.0,Alto,559.57,1,0.877,Alto
166,12,2,2026,5,124,53,22.32,28.64,0.852,286.33,Administrativo,Auditorio,Feb,2026-02,Tarde,46.98,Bajo,312.55,0,0.032,Bajo
167,8,2,2026,6,106,34,23.55,30.93,0.988,234.4,Comedor,Auditorio,Feb,2026-02,Mañana,33.03,Bajo,253.66,0,0.001,Bajo
168,8,2,2026,10,142,47,26.36,43.84,0.971,323.8,Edificio 10,Auditorio,Feb,2026-02,Mañana,32.54,Bajo,332.82,0,0.182,Bajo
169,16,3,2026,12,160,79,26.65,67.76,0.882,560.0,Edificio 12,Auditorio,Mar,2026-03,Tarde,30.0,Alto,559.35,1,0.969,Alto
